date,total,post_id
2023-07-06,1918107,1918107
2023-07-07,1939032,1939032
2023-07-08,1956091,1956091
2023-07-09,1971254,1971254
2023-07-10,1988071,1988071
2023-07-11,2004964,2004964
2023-07-12,2021362,2021362
2023-07-13,2036896,2036896
2023-07-14,2052583,2052583
2023-07-15,2066165,2066165
2023-07-16,2078950,2078950
2023-07-17,2092472,2092472
2023-07-18,2106430,2106430
2023-07-19,2119591,2119591
2023-07-20,2132763,2132763
2023-07-21,2144668,2144668
2023-07-22,2155730,2155730
2023-07-23,2167783,2167783
2023-07-24,2184776,2184776
2023-07-25,2204045,2204045
2023-07-26,2221547,2221547
2023-07-27,2237754,2237754
2023-07-28,2255671,2255671
2023-07-29,2273010,2273010
2023-07-30,2287829,2287829
2023-07-31,2303609,2303609
2023-08-01,2319174,2319174
2023-08-02,2335056,2335056
2023-08-03,2349977,2349977
2023-08-04,2364858,2364858
2023-08-05,2378689,2378689
2023-08-06,2391300,2391300
2023-08-07,2405073,2405073
2023-08-08,2418337,2418337
2023-08-09,2431061,2431061
2023-08-10,2443351,2443351
2023-08-11,2455320,2455320
2023-08-12,2466403,2466403
2023-08-13,2476916,2476916
2023-08-14,2488779,2488779
2023-08-15,2500708,2500708
2023-08-16,2513073,2513073
2023-08-17,2525427,2525427
2023-08-18,2538078,2538078
2023-08-19,2550682,2622168
2023-08-20,2562108,2622172
2023-08-21,2574778,2622173
2023-08-22,2586912,2622176
2023-08-23,2599300,2622180
2023-08-24,2611506,2622181
2023-08-25,2623684,2623707
2023-08-26,2634736,2634736
2023-08-27,2645117,2645117
2023-08-28,2656646,2656646
2023-08-29,2668338,2668338
2023-08-30,2680133,2680133
2023-08-31,2691942,2691942
2023-09-01,2703518,2703518
2023-09-02,2713172,2713172
2023-09-03,2722958,2722958
2023-09-04,2733389,2733389
2023-09-05,2744643,2744643
2023-09-06,2755937,2755937
2023-09-07,2767539,2767539
2023-09-08,2778753,2778753
2023-09-09,2788960,2788960
2023-09-10,2799435,2799435
2023-09-11,2810418,2810418
2023-09-12,2822782,2822782
2023-09-13,2835650,2835650
2023-09-14,2847793,2847793
2023-09-15,2859659,2859659
2023-09-16,2869709,2869709
2023-09-17,2879272,2879272
2023-09-18,2890329,2890329
2023-09-19,2902347,2902347
2023-09-20,2914007,2914007
2023-09-21,2925005,2925005
2023-09-22,2936068,2936068
2023-09-23,2945677,2945677
2023-09-24,2955483,2955483
2023-09-25,2966825,2966825
2023-09-26,2978268,2978268
2023-09-27,2989517,2989517
2023-09-28,3001795,3001795
2023-09-29,3013566,3013566
2023-09-30,3024070,3024070
2023-10-01,3034924,3034924
2023-10-02,3046482,3046482
2023-10-03,3058351,3058351
2023-10-04,3070210,3070210
2023-10-05,3081837,3081837
2023-10-06,3092851,3092851
2023-10-07,3103118,3103118
2023-10-08,3113495,3113495
2023-10-09,3124209,3124209
2023-10-10,3135406,3146542
2023-10-11,3146542,3147919
2023-10-12,3158354,3158354
2023-10-13,3170030,3170030
2023-10-14,3180531,3180531
2023-10-15,3190319,3190319
2023-10-16,3201741,3201741
2023-10-17,3212619,3212619
2023-10-18,3224042,3224042
2023-10-19,3236133,3236133
2023-10-20,3247375,3247375
2023-10-21,3257294,3257294
2023-10-22,3267006,3267006
2023-10-23,3278498,3278498
2023-10-24,3290173,3290173
2023-10-25,3302365,3302365
2023-10-26,3314429,3314429
2023-10-27,3325478,3325478
2023-10-28,3335726,3335726
2023-10-29,3346171,3346171
2023-10-30,3356551,3356551
2023-10-31,3369448,3369448
2023-11-01,3381471,3381471
2023-11-02,3391834,3391834
2023-11-03,3402395,3402395
2023-11-04,3411702,3411702
2023-11-05,3421117,3421117
2023-11-06,3431773,3431773
2023-11-07,3443622,3443622
2023-11-08,3455117,3455117
2023-11-09,3468752,3468752
2023-11-10,3482061,3482061
2023-11-11,3493714,3493714
2023-11-12,3505050,3505050
2023-11-13,3517970,3517970
2023-11-14,3531172,3531172
2023-11-15,3544893,3544893
2023-11-16,3557081,3557081
2023-11-17,3570149,3570149
2023-11-18,3581287,3581287
2023-11-19,3592093,3592093
2023-11-20,3605115,3605115
2023-11-21,3618685,3618685
2023-11-22,3630704,3630704
2023-11-23,3641930,3641930
2023-11-24,3651929,3651929
2023-11-25,3661114,3661114
2023-11-26,3671336,3671336
2023-11-27,3682385,3682385
2023-11-28,3693344,3693344
2023-11-29,3704897,3704897
2023-11-30,3718683,3718683
2023-12-01,3730289,3730289
2023-12-02,3740325,3740325
2023-12-03,3749843,3749843
2023-12-04,3760530,3760530
2023-12-05,3771674,3771674
2023-12-06,3783067,3783067
2023-12-07,3794421,3794421
2023-12-08,3806870,3806870
2023-12-09,3816601,3816601
2023-12-10,3826555,3826555
